year,week,State,reported_ILI_cases_per_week
2011,50,Georgia,553
2011,50,Illinois,772
2011,50,New York,82
2011,50,Pennsylvania,192
2011,50,Texas,781
2011,50,Washington,47
2011,51,Arizona,192
2011,51,California,843
2011,51,Colorado,125
2011,51,Georgia,778
2011,51,Illinois,840
2011,51,New York,57
2011,51,Pennsylvania,203
2011,51,Texas,779
2011,51,Washington,47
2011,52,Arizona,213
2011,52,California,718
2011,52,Colorado,123
2011,52,Georgia,714
2011,52,Illinois,1020
2011,52,New York,36
2011,52,Pennsylvania,228
2011,52,Texas,713
2011,52,Washington,43
2012,1,Arizona,225
2012,1,California,854
2012,1,Colorado,127
2012,1,Georgia,609
2012,1,Illinois,888
2012,1,New York,72
2012,1,Pennsylvania,183
2012,1,Texas,745
2012,1,Washington,53
2012,2,Arizona,207
2012,2,California,958
2012,2,Colorado,157
2012,2,Georgia,550
2012,2,Illinois,830
2012,2,New York,84
2012,2,Pennsylvania,205
2012,2,Texas,859
2012,2,Washington,44
2012,3,Arizona,212
2012,3,California,855
2012,3,Colorado,160
2012,3,Georgia,622
2012,3,Illinois,867
2012,3,New York,80
2012,3,Pennsylvania,201
2012,3,Texas,923
2012,3,Washington,39
2012,4,Arizona,216
2012,4,California,1224
2012,4,Colorado,231
2012,4,Georgia,642
2012,4,Illinois,948
2012,4,New York,69
2012,4,Pennsylvania,217
2012,4,Texas,899
2012,4,Washington,49
2012,5,Arizona,303
2012,5,California,1359
2012,5,Colorado,213
2012,5,Georgia,768
2012,5,Illinois,1136
2012,5,New York,88
2012,5,Pennsylvania,219
2012,5,Texas,1046
2012,5,Washington,93
2012,6,Arizona,273
2012,6,California,1265
2012,6,Colorado,239
2012,6,Georgia,724
2012,6,Illinois,989
2012,6,New York,72
2012,6,Pennsylvania,236
2012,6,Texas,1124
2012,6,Washington,90
2012,7,Arizona,362
2012,7,California,1278
2012,7,Colorado,243
2012,7,Georgia,740
2012,7,Illinois,1361
2012,7,New York,81
2012,7,Pennsylvania,230
2012,7,Texas,1241
2012,7,Washington,83
2012,8,Arizona,344
2012,8,California,1300
2012,8,Colorado,316
2012,8,Georgia,379
2012,8,Illinois,1557
2012,8,New York,124
2012,8,Pennsylvania,232
2012,8,Texas,1141
2012,8,Washington,92
2012,9,Arizona,354
2012,9,California,1253
2012,9,Colorado,343
2012,9,Georgia,732
2012,9,Illinois,1561
2012,9,New York,109
2012,9,Pennsylvania,213
2012,9,Texas,1434
2012,9,Washington,84
2012,10,Arizona,334
2012,10,California,812
2012,10,Colorado,321
2012,10,Georgia,696
2012,10,Illinois,1829
2012,10,New York,102
2012,10,Pennsylvania,172
2012,10,Texas,960
2012,10,Washington,103
2012,11,Arizona,321
2012,11,California,920
2012,11,Colorado,340
2012,11,Georgia,748
2012,11,Illinois,2074
2012,11,New York,127
2012,11,Pennsylvania,199
2012,11,Texas,1278
2012,11,Washington,97
2012,12,Arizona,309
2012,12,California,819
2012,12,Colorado,274
2012,12,Georgia,688
2012,12,Illinois,1562
2012,12,New York,86
2012,12,Pennsylvania,205
2012,12,Texas,1149
2012,12,Washington,78
2012,13,Arizona,298
2012,13,California,1229
2012,13,Colorado,188
2012,13,Georgia,642
2012,13,Illinois,1077
2012,13,New York,78
2012,13,Pennsylvania,214
2012,13,Texas,1057
2012,13,Washington,102
2012,14,Arizona,275
2012,14,California,952
2012,14,Colorado,194
2012,14,Georgia,521
2012,14,Illinois,1009
2012,14,New York,95
2012,14,Pennsylvania,184
2012,14,Texas,947
2012,14,Washington,115
2012,15,Arizona,280
2012,15,California,927
2012,15,Colorado,156
2012,15,Georgia,468
2012,15,Illinois,962
2012,15,New York,88
2012,15,Pennsylvania,196
2012,15,Texas,851
2012,15,Washington,125
2012,16,Arizona,234
2012,16,California,717
2012,16,Colorado,129
2012,16,Georgia,468
2012,16,Illinois,863
2012,16,New York,88
2012,16,Pennsylvania,193
2012,16,Texas,842
2012,16,Washington,120
2012,17,Arizona,175
2012,17,California,693
2012,17,Colorado,133
2012,17,Georgia,303
2012,17,Illinois,839
2012,17,New York,82
2012,17,Pennsylvania,148
2012,17,Texas,765
2012,17,Washington,93
2012,18,Arizona,163
2012,18,California,732
2012,18,Colorado,125
2012,18,Georgia,175
2012,18,Illinois,749
2012,18,New York,47
2012,18,Pennsylvania,143
2012,18,Texas,737
2012,18,Washington,106
2012,19,Arizona,151
2012,19,California,673
2012,19,Colorado,99
2012,19,Georgia,189
2012,19,Illinois,544
2012,19,New York,52
2012,19,Pennsylvania,127
2012,19,Texas,751
2012,19,Washington,79
2012,20,Arizona,126
2012,20,California,613
2012,20,Colorado,130
2012,20,Georgia,208
2012,20,Illinois,542
2012,20,New York,46
2012,20,Pennsylvania,119
2012,20,Texas,750
2012,20,Washington,54
2012,21,Arizona,117
2012,21,California,593
2012,21,Colorado,77
2012,21,Georgia,476
2012,21,Illinois,482
2012,21,New York,34
2012,21,Pennsylvania,97
2012,21,Texas,781
2012,21,Washington,26
2012,22,Arizona,99
2012,22,California,465
2012,22,Colorado,85
2012,22,Georgia,496
2012,22,Illinois,511
2012,22,New York,24
2012,22,Pennsylvania,83
2012,22,Texas,611
2012,22,Washington,25
2012,23,Arizona,92
2012,23,California,497
2012,23,Colorado,88
2012,23,Georgia,363
2012,23,Illinois,490
2012,23,New York,18
2012,23,Pennsylvania,71
2012,23,Texas,552
2012,23,Washington,19
2012,24,Arizona,102
2012,24,California,466
2012,24,Colorado,77
2012,24,Georgia,346
2012,24,Illinois,374
2012,24,New York,9
2012,24,Pennsylvania,62
2012,24,Texas,520
2012,24,Washington,16
2012,25,Arizona,90
2012,25,California,482
2012,25,Colorado,75
2012,25,Georgia,261
2012,25,Illinois,389
2012,25,New York,13
2012,25,Pennsylvania,64
2012,25,Texas,539
2012,25,Washington,17
2012,26,Arizona,94
2012,26,California,411
2012,26,Colorado,60
2012,26,Georgia,231
2012,26,Illinois,402
2012,26,New York,8
2012,26,Pennsylvania,59
2012,26,Texas,572
2012,26,Washington,16
2012,27,Arizona,57
2012,27,California,365
2012,27,Colorado,57
2012,27,Georgia,253
2012,27,Illinois,369
2012,27,New York,13
2012,27,Pennsylvania,43
2012,27,Texas,516
2012,27,Washington,13
2012,28,Arizona,63
2012,28,California,390
2012,28,Colorado,68
2012,28,Georgia,221
2012,28,Illinois,396
2012,28,New York,8
2012,28,Pennsylvania,49
2012,28,Texas,467
2012,28,Washington,12
2012,29,Arizona,67
