year,week,State,City,average_temperature,average_precipitation,last_day_of_the_week
2016,9,Illinois,Chicago,31.642857142857142,0.037142857142857144,2016-03-06
2016,10,Illinois,Chicago,50.42857142857143,0.11,2016-03-13
2016,11,Illinois,Chicago,45.357142857142854,0.014285714285714287,2016-03-20
2016,12,Illinois,Chicago,41.92857142857143,0.2542857142857143,2016-03-27
2016,13,Illinois,Chicago,45.714285714285715,0.08857142857142856,2016-04-03
2016,14,Illinois,Chicago,36.42857142857143,0.08285714285714287,2016-04-10
2016,15,Illinois,Chicago,50.214285714285715,0.0,2016-04-17
2016,16,Illinois,Chicago,56.357142857142854,0.06142857142857143,2016-04-24
2016,17,Illinois,Chicago,50.5,0.2942857142857142,2016-05-01
2016,18,Illinois,Chicago,54.214285714285715,0.060000000000000005,2016-05-08
2016,19,Illinois,Chicago,53.714285714285715,0.3371428571428572,2016-05-15
2016,20,Illinois,Chicago,57.214285714285715,0.0,2016-05-22
2016,21,Illinois,Chicago,71.71428571428571,0.17285714285714288,2016-05-29
2016,22,Illinois,Chicago,70.42857142857143,0.2057142857142857,2016-06-05
2016,23,Illinois,Chicago,68.5,0.04428571428571428,2016-06-12
2016,24,Illinois,Chicago,73.64285714285714,0.045714285714285714,2016-06-19
2016,25,Illinois,Chicago,75.42857142857143,0.19571428571428573,2016-06-26
2016,26,Illinois,Chicago,67.92857142857143,0.0,2016-07-03
2016,27,Illinois,Chicago,74.78571428571429,0.2742857142857143,2016-07-10
2016,28,Illinois,Chicago,74.35714285714286,0.0642857142857143,2016-07-17
2016,29,Illinois,Chicago,80.35714285714286,0.4414285714285714,2016-07-24
2016,30,Illinois,Chicago,76.57142857142857,0.11,2016-07-31
2016,31,Illinois,Chicago,76.85714285714286,0.002857142857142857,2016-08-07
2016,32,Illinois,Chicago,78.5,0.13714285714285715,2016-08-14
2016,33,Illinois,Chicago,74.57142857142857,0.19285714285714287,2016-08-21
2016,34,Illinois,Chicago,73.78571428571429,0.18571428571428572,2016-08-28
2016,35,Illinois,Chicago,70.78571428571429,0.08857142857142856,2016-09-04
2016,36,Illinois,Chicago,73.78571428571429,0.0642857142857143,2016-09-11
2016,37,Illinois,Chicago,70.64285714285714,0.02,2016-09-18
2016,38,Illinois,Chicago,71.78571428571429,0.08,2016-09-25
2016,39,Illinois,Chicago,60.42857142857143,0.2257142857142857,2016-10-02
2016,40,Illinois,Chicago,61.57142857142857,0.03571428571428571,2016-10-09
2016,41,Illinois,Chicago,58.285714285714285,0.06142857142857143,2016-10-16
2016,42,Illinois,Chicago,57.357142857142854,0.002857142857142857,2016-10-23
2016,43,Illinois,Chicago,50.285714285714285,0.3,2016-10-30
2016,44,Illinois,Chicago,56.785714285714285,0.025714285714285714,2016-11-06
2016,45,Illinois,Chicago,49.0,0.004285714285714286,2016-11-13
2016,46,Illinois,Chicago,45.57142857142857,0.030000000000000002,2016-11-20
2016,47,Illinois,Chicago,36.857142857142854,0.039999999999999994,2016-11-27
2016,48,Illinois,Chicago,38.92857142857143,0.21285714285714286,2016-12-04
2016,49,Illinois,Chicago,25.785714285714285,0.08142857142857143,2016-12-11
2016,50,Illinois,Chicago,12.142857142857142,0.038571428571428576,2016-12-18
2016,51,Illinois,Chicago,26.0,0.027142857142857142,2016-12-25
2016,52,Illinois,Chicago,31.428571428571427,0.032857142857142856,2017-01-01
2017,1,Illinois,Chicago,15.214285714285714,0.015714285714285715,2017-01-08
2017,2,Illinois,Chicago,28.357142857142858,0.08571428571428573,2017-01-15
2017,3,Illinois,Chicago,38.785714285714285,0.29,2017-01-22
2017,4,Illinois,Chicago,31.928571428571427,0.012857142857142857,2017-01-29
2017,5,Illinois,Chicago,26.428571428571427,0.005714285714285714,2017-02-05
2017,6,Illinois,Chicago,33.357142857142854,0.06714285714285714,2017-02-12
2017,7,Illinois,Chicago,42.142857142857146,0.0,2017-02-19
2017,8,Illinois,Chicago,45.714285714285715,0.05714285714285715,2017-02-26
2017,9,Illinois,Chicago,39.42857142857143,0.10571428571428572,2017-03-05
2017,10,Illinois,Chicago,39.5,0.038571428571428576,2017-03-12
2017,11,Illinois,Chicago,32.785714285714285,0.05714285714285715,2017-03-19
2017,12,Illinois,Chicago,45.92857142857143,0.1657142857142857,2017-03-26
2017,13,Illinois,Chicago,44.57142857142857,0.2942857142857143,2017-04-02
2017,14,Illinois,Chicago,50.357142857142854,0.2928571428571428,2017-04-09
2017,15,Illinois,Chicago,56.857142857142854,0.18,2017-04-16
2017,16,Illinois,Chicago,55.0,0.0014285714285714286,2017-04-23
2017,17,Illinois,Chicago,54.0,0.5085714285714286,2017-04-30
2017,18,Illinois,Chicago,48.642857142857146,0.04,2017-05-07
2017,19,Illinois,Chicago,56.285714285714285,0.1457142857142857,2017-05-14
2017,20,Illinois,Chicago,62.357142857142854,0.1442857142857143,2017-05-21
2017,21,Illinois,Chicago,61.42857142857143,0.14857142857142858,2017-05-28
2017,22,Illinois,Chicago,68.28571428571429,0.0,2017-06-04
2017,23,Illinois,Chicago,71.78571428571429,0.008571428571428572,2017-06-11
2017,24,Illinois,Chicago,78.57142857142857,0.18571428571428572,2017-06-18
2017,25,Illinois,Chicago,70.0,0.10857142857142857,2017-06-25
2017,26,Illinois,Chicago,70.64285714285714,0.18857142857142858,2017-07-02
2017,27,Illinois,Chicago,75.14285714285714,0.005714285714285714,2017-07-09
2017,28,Illinois,Chicago,73.21428571428571,0.43714285714285717,2017-07-16
2017,29,Illinois,Chicago,77.14285714285714,0.6571428571428571,2017-07-23
2017,30,Illinois,Chicago,72.85714285714286,0.004285714285714286,2017-07-30
2017,31,Illinois,Chicago,71.85714285714286,0.2571428571428572,2017-08-06
2017,32,Illinois,Chicago,70.42857142857143,0.004285714285714286,2017-08-13
2017,33,Illinois,Chicago,75.5,0.027142857142857142,2017-08-20
2017,34,Illinois,Chicago,69.57142857142857,0.008571428571428572,2017-08-27
2017,35,Illinois,Chicago,67.5,0.09714285714285713,2017-09-03
2017,36,Illinois,Chicago,62.857142857142854,0.0,2017-09-10
2017,37,Illinois,Chicago,70.28571428571429,0.0,2017-09-17
2017,38,Illinois,Chicago,78.07142857142857,0.01,2017-09-24
2017,39,Illinois,Chicago,67.35714285714286,0.0,2017-10-01
2017,40,Illinois,Chicago,67.92857142857143,0.11,2017-10-08
2017,41,Illinois,Chicago,61.357142857142854,0.8514285714285714,2017-10-15
2017,42,Illinois,Chicago,60.785714285714285,0.04428571428571428,2017-10-22
2017,43,Illinois,Chicago,44.857142857142854,0.23714285714285716,2017-10-29
2017,44,Illinois,Chicago,43.42857142857143,0.10714285714285714,2017-11-05
2017,45,Illinois,Chicago,34.42857142857143,0.018571428571428572,2017-11-12
2017,46,Illinois,Chicago,38.642857142857146,0.12142857142857144,2017-11-19
2017,47,Illinois,Chicago,39.0,0.002857142857142857,2017-11-26
2017,48,Illinois,Chicago,44.357142857142854,0.0,2017-12-03
2017,49,Illinois,Chicago,32.214285714285715,0.028571428571428574,2017-12-10
2017,50,Illinois,Chicago,29.642857142857142,0.012857142857142857,2017-12-17
2017,51,Illinois,Chicago,33.57142857142857,0.027142857142857142,2017-12-24
2017,52,Illinois,Chicago,6.642857142857143,0.017142857142857144,2017-12-31
2018,1,Illinois,Chicago,6.571428571428571,0.004285714285714286,2018-01-07
2018,2,Illinois,Chicago,27.357142857142858,0.0642857142857143,2018-01-14
2018,3,Illinois,Chicago,26.142857142857142,0.021428571428571432,2018-01-21
2018,4,Illinois,Chicago,37.214285714285715,0.12714285714285717,2018-01-28
2018,5,Illinois,Chicago,24.142857142857142,0.02142857142857143,2018-02-04
2018,6,Illinois,Chicago,14.571428571428571,0.2157142857142857,2018-02-11
2018,7,Illinois,Chicago,27.785714285714285,0.018571428571428572,2018-02-18
2018,8,Illinois,Chicago,40.785714285714285,0.41285714285714287,2018-02-25
2018,9,Illinois,Chicago,42.142857142857146,0.11571428571428573,2018-03-04
2018,10,Illinois,Chicago,32.714285714285715,0.025714285714285714,2018-03-11
2018,11,Illinois,Chicago,36.07142857142857,0.03142857142857143,2018-03-18
2018,12,Illinois,Chicago,35.0,0.0,2018-03-25
2018,13,Illinois,Chicago,41.642857142857146,0.07571428571428572,2018-04-01
2018,14,Illinois,Chicago,31.928571428571427,0.04142857142857143,2018-04-08
2018,15,Illinois,Chicago,42.07142857142857,0.27714285714285714,2018-04-15
2018,16,Illinois,Chicago,41.214285714285715,0.002857142857142857,2018-04-22
2018,17,Illinois,Chicago,48.714285714285715,0.002857142857142857,2018-04-29
2018,18,Illinois,Chicago,66.5,0.27,2018-05-06
2018,19,Illinois,Chicago,58.785714285714285,0.21857142857142858,2018-05-13
2018,20,Illinois,Chicago,60.285714285714285,0.27571428571428575,2018-05-20
2018,21,Illinois,Chicago,71.0,0.27999999999999997,2018-05-27
2018,22,Illinois,Chicago,72.71428571428571,0.17285714285714285,2018-06-03
2018,23,Illinois,Chicago,66.5,0.39285714285714285,2018-06-10
2018,24,Illinois,Chicago,74.85714285714286,0.10857142857142857,2018-06-17
2018,25,Illinois,Chicago,70.42857142857143,0.43142857142857144,2018-06-24
2018,26,Illinois,Chicago,79.07142857142857,0.14714285714285716,2018-07-01
2018,27,Illinois,Chicago,76.57142857142857,0.004285714285714286,2018-07-08
2018,28,Illinois,Chicago,79.35714285714286,0.037142857142857144,2018-07-15
2018,29,Illinois,Chicago,75.0,0.07285714285714286,2018-07-22
2018,30,Illinois,Chicago,73.85714285714286,0.014285714285714287,2018-07-29
2018,31,Illinois,Chicago,77.57142857142857,0.0,2018-08-05
2018,32,Illinois,Chicago,77.14285714285714,0.4471428571428571,2018-08-12
2018,33,Illinois,Chicago,77.35714285714286,0.08857142857142856,2018-08-19
2018,34,Illinois,Chicago,72.92857142857143,0.15,2018-08-26
2018,35,Illinois,Chicago,76.28571428571429,0.26999999999999996,2018-09-02
2018,36,Illinois,Chicago,71.85714285714286,0.40857142857142864,2018-09-09
